/CK (x=0.7) X,/CK (x=0.7) Y,/D (x=0.7) X,/D (x=0.7) Y,/QD (x=0.7) X,/QD (x=0.7) Y
1.802434971476889e-07,0.7,1.802434971476889e-07,0.7,1.802434971476889e-07,0.4400202164901867
1.802481505334935e-07,0.7,1.802481505334935e-07,0.7,1.802481505334935e-07,0.5537930223496402
1.802529713455801e-07,0.7,1.802529713455801e-07,0.7,1.802529713455801e-07,0.6406420997322912
1.802568799901306e-07,0.7,1.802568799901306e-07,0.7,1.802568799901306e-07,0.6744198252718725
1.802609208400807e-07,0.7,1.802609208400807e-07,0.7,1.802609208400807e-07,0.6879668202214854
1.802648539269601e-07,0.7,1.802648539269601e-07,0.7,1.802648539269601e-07,0.6936539866380856
1.802686393695239e-07,0.7,1.802686393695239e-07,0.7,1.802686393695239e-07,0.6964152009146135
1.80274027765664e-07,0.7,1.80274027765664e-07,0.7,1.80274027765664e-07,0.6983050500246663
1.802819367158245e-07,0.7,1.802819367158245e-07,0.7,1.802819367158245e-07,0.6993781669068355
1.80292917063571e-07,0.7,1.80292917063571e-07,0.7,1.80292917063571e-07,0.6998282679586117
1.803082004530969e-07,0.7,1.803082004530969e-07,0.7,1.803082004530969e-07,0.6999769216265199
1.803278202209728e-07,0.7,1.803278202209728e-07,0.7,1.803278202209728e-07,0.6999979146568137
1.803566755440643e-07,0.7,1.803566755440643e-07,0.7,1.803566755440643e-07,0.6999996766705994
1.804074150368901e-07,0.7,1.804074150368901e-07,0.7,1.804074150368901e-07,0.6999998660616478
1.804587075184451e-07,0.7,1.804587075184451e-07,0.7,1.804587075184451e-07,0.7000000044730113
1.8051e-07,0.7,1.8051e-07,0.7,1.8051e-07,0.6999998275032063
1.805100390625e-07,0.6972656249982381,1.805100390625e-07,0.7,1.805100390625e-07,0.6999868582480144
1.805101171875e-07,0.6917968749978555,1.805101171875e-07,0.7,1.805101171875e-07,0.6999539946794827
1.8051015625e-07,0.6890624999976642,1.8051015625e-07,0.7,1.8051015625e-07,0.6999310616934287
1.80510234375e-07,0.6835937499972816,1.80510234375e-07,0.7,1.80510234375e-07,0.6998944219599793
1.80510390625e-07,0.6726562499965165,1.80510390625e-07,0.7,1.80510390625e-07,0.6998263243466342
1.805106333896668e-07,0.6556627233219445,1.805106333896668e-07,0.7,1.805106333896668e-07,0.6997277181607156
1.805111189190004e-07,0.6216756699728005,1.805111189190004e-07,0.7,1.805111189190004e-07,0.6995611282128562
1.805120899776675e-07,0.5537015632745126,1.805120899776675e-07,0.7,1.805120899776675e-07,0.6993220920607857
1.805140320950017e-07,0.4177533498779367,1.805140320950017e-07,0.7,1.805140320950017e-07,0.6991131012890667
1.80517029136624e-07,0.2079604363175265,1.80517029136624e-07,0.7,1.80517029136624e-07,0.6991737000267515
1.80518514568312e-07,0.1039802181575811,1.80518514568312e-07,0.7,1.80518514568312e-07,0.6992947610979184
1.8052e-07,0,1.8052e-07,0.7,1.8052e-07,0.6994390855119492
1.805201188669231e-07,0,1.805201188669231e-07,0.7,1.805201188669231e-07,0.6995166397832195
1.805203566007692e-07,0,1.805203566007692e-07,0.7,1.805203566007692e-07,0.6996821642359173
1.805204664051635e-07,0,1.805204664051635e-07,0.7,1.805204664051635e-07,0.6997009069352155
1.80520686013952e-07,0,1.80520686013952e-07,0.7,1.80520686013952e-07,0.6998707278112865
1.805211240983333e-07,0,1.805211240983333e-07,0.7,1.805211240983333e-07,0.7001650186255109
1.805217282427898e-07,0,1.805217282427898e-07,0.7,1.805217282427898e-07,0.7004814985799184
1.805220303150182e-07,0,1.805220303150182e-07,0.7,1.805220303150182e-07,0.7006058797651057
1.805226344594748e-07,0,1.805226344594748e-07,0.7,1.805226344594748e-07,0.700798046980591
1.80523842748388e-07,0,1.80523842748388e-07,0.7,1.80523842748388e-07,0.701009012789565
1.805261042586062e-07,0,1.805261042586062e-07,0.7,1.805261042586062e-07,0.7010168265240015
1.805297743165671e-07,0,1.805297743165671e-07,0.7,1.805297743165671e-07,0.7006483516570925
1.805337916337587e-07,0,1.805337916337587e-07,0.7,1.805337916337587e-07,0.7002615727505176
1.80538883457877e-07,0,1.80538883457877e-07,0.7,1.80538883457877e-07,0.7000034590132317
1.805452267991948e-07,0,1.805452267991948e-07,0.7,1.805452267991948e-07,0.6999067744336706
1.80553893875934e-07,0,1.80553893875934e-07,0.7,1.80553893875934e-07,0.6999158958539821
1.805640954480391e-07,0,1.805640954480391e-07,0.7,1.805640954480391e-07,0.6999526145175062
1.805740373453113e-07,0,1.805740373453113e-07,0.7,1.805740373453113e-07,0.6999723928158441
1.805817400344022e-07,0,1.805817400344022e-07,0.7,1.805817400344022e-07,0.6999818084792546
1.805893052152473e-07,0,1.805893052152473e-07,0.7,1.805893052152473e-07,0.6999890184990494
1.805932401988366e-07,0,1.805932401988366e-07,0.7,1.805932401988366e-07,0.6999916018261042
1.805980044089429e-07,0,1.805980044089429e-07,0.7,1.805980044089429e-07,0.6999966269275
1.806021657925295e-07,0,1.806021657925295e-07,0.7,1.806021657925295e-07,0.6999994293820708
1.806075177539548e-07,0,1.806075177539548e-07,0.7,1.806075177539548e-07,0.7000015243401253
1.806125252737233e-07,0,1.806125252737233e-07,0.7,1.806125252737233e-07,0.7000023901896849
1.806192758474826e-07,0,1.806192758474826e-07,0.7,1.806192758474826e-07,0.7000028253323034
1.806281020752793e-07,0,1.806281020752793e-07,0.7,1.806281020752793e-07,0.7000025126623406
1.806417108845688e-07,0,1.806417108845688e-07,0.7,1.806417108845688e-07,0.700001382976815
1.806596639805145e-07,0,1.806596639805145e-07,0.7,1.806596639805145e-07,0.7000000475612234
1.80683079329279e-07,0,1.80683079329279e-07,0.7,1.80683079329279e-07,0.6999994987340167
1.80715813810561e-07,0,1.80715813810561e-07,0.7,1.80715813810561e-07,0.6999996235973279
1.807638074385171e-07,0,1.807638074385171e-07,0.7,1.807638074385171e-07,0.6999997940859305
