/CLK (x=0.6) X,/CLK (x=0.6) Y,/D (x=0.6) X,/D (x=0.6) Y,/QB (x=0.6) X,/QB (x=0.6) Y
1.728967665483862e-10,0,1.728967665483862e-10,0.6,1.728967665483862e-10,0.6000059726113459
1.958454156564641e-10,0,1.958454156564641e-10,0.6,1.958454156564641e-10,0.6000212339163633
2.282694456851465e-10,0,2.282694456851465e-10,0.6,2.282694456851465e-10,0.6000206342247734
2.773962709328666e-10,0,2.773962709328666e-10,0.6,2.773962709328666e-10,0.6000203712072704
3.26656665322283e-10,0,3.26656665322283e-10,0.6,3.26656665322283e-10,0.6000350663659634
3.643336509192198e-10,0,3.643336509192198e-10,0.6,3.643336509192198e-10,0.6000413097207552
4.018465964517331e-10,0,4.018465964517331e-10,0.6,4.018465964517331e-10,0.6000226801185912
4.24862690554884e-10,0,4.24862690554884e-10,0.6,4.24862690554884e-10,0.6000174313660831
4.502019067109536e-10,0,4.502019067109536e-10,0.6,4.502019067109536e-10,0.6000168775649515
4.736248274506411e-10,0,4.736248274506411e-10,0.6,4.736248274506411e-10,0.6000226108540514
5.102212873954595e-10,0,5.102212873954595e-10,0.6,5.102212873954595e-10,0.5999997426898623
5.372810648155151e-10,0,5.372810648155151e-10,0.6,5.372810648155151e-10,0.5999327288286795
5.676892440085495e-10,0,5.676892440085495e-10,0.6,5.676892440085495e-10,0.5998213212928923
5.929175136295429e-10,0,5.929175136295429e-10,0.6,5.929175136295429e-10,0.5997778788836582
6.185566879692784e-10,0,6.185566879692784e-10,0.6,6.185566879692784e-10,0.5998255197098701
6.44445740716438e-10,0,6.44445740716438e-10,0.6,6.44445740716438e-10,0.5998984694457306
6.714702775218067e-10,0,6.714702775218067e-10,0.6,6.714702775218067e-10,0.5999677220279723
7.097917042579556e-10,0,7.097917042579556e-10,0.6,7.097917042579556e-10,0.6000385369089223
7.640250580537333e-10,0,7.640250580537333e-10,0.6,7.640250580537333e-10,0.6000729491352245
8.283529568046061e-10,0,8.283529568046061e-10,0.6,8.283529568046061e-10,0.6000376846251172
9.000396926861778e-10,0,9.000396926861778e-10,0.6,9.000396926861778e-10,0.6000310790493379
9.564026179382255e-10,0,9.564026179382255e-10,0.6,9.564026179382255e-10,0.6000433637603062
1.000741021261437e-09,0,1.000741021261437e-09,0.6,1.000741021261437e-09,0.600067050056433
1.039830710557049e-09,0,1.039830710557049e-09,0.6,1.039830710557049e-09,0.6000536923135217
1.06627428177326e-09,0,1.06627428177326e-09,0.6,1.06627428177326e-09,0.6000301993383836
1.098303307963941e-09,0,1.098303307963941e-09,0.6,1.098303307963941e-09,0.6000221415661793
1.126460118256013e-09,0,1.126460118256013e-09,0.6,1.126460118256013e-09,0.6000462038926827
1.16041029388732e-09,0,1.16041029388732e-09,0.6,1.16041029388732e-09,0.6000799959842633
1.189111156315816e-09,0,1.189111156315816e-09,0.6,1.189111156315816e-09,0.6000633063953522
1.219376332061498e-09,0,1.219376332061498e-09,0.6,1.219376332061498e-09,0.6000065156140555
1.241908941594155e-09,0,1.241908941594155e-09,0.6,1.241908941594155e-09,0.5999818959438143
1.269861825535868e-09,0,1.269861825535868e-09,0.6,1.269861825535868e-09,0.5999678115670825
1.300190439207977e-09,0,1.300190439207977e-09,0.6,1.300190439207977e-09,0.5999642274666395
1.337481121778843e-09,0,1.337481121778843e-09,0.6,1.337481121778843e-09,0.5999635222563126
1.392833541432342e-09,0,1.392833541432342e-09,0.6,1.392833541432342e-09,0.5999743375364953
1.461575553615848e-09,0,1.461575553615848e-09,0.6,1.461575553615848e-09,0.5999849478920694
1.550834770169297e-09,0,1.550834770169297e-09,0.6,1.550834770169297e-09,0.5999929563100244
1.664155698885553e-09,0,1.664155698885553e-09,0.6,1.664155698885553e-09,0.5999962100551676
1.812720150058671e-09,0,1.812720150058671e-09,0.6,1.812720150058671e-09,0.5999983404008025
2.00540612338744e-09,0,2.00540612338744e-09,0.6,2.00540612338744e-09,0.5999989511176245
2.258799032153674e-09,0,2.258799032153674e-09,0.6,2.258799032153674e-09,0.5999996438453917
2.592403841454121e-09,0,2.592403841454121e-09,0.6,2.592403841454121e-09,0.5999996587078801
3.033812420243143e-09,0,3.033812420243143e-09,0.6,3.033812420243143e-09,0.6000000183707395
3.618669070517917e-09,0,3.618669070517917e-09,0.6,3.618669070517917e-09,0.5999998629544476
4.397095547282862e-09,0,4.397095547282862e-09,0.6,4.397095547282862e-09,0.6000001395057368
5.429745929921573e-09,0,5.429745929921573e-09,0.6,5.429745929921573e-09,0.5999999281868315
6.810314703409829e-09,0,6.810314703409829e-09,0.6,6.810314703409829e-09,0.6000001803961557
8.647341920375738e-09,0,8.647341920375738e-09,0.6,8.647341920375738e-09,0.5999999502973299
1.111088262393783e-08,0,1.111088262393783e-08,0.6,1.111088262393783e-08,0.6000001953887659
1.439672711916916e-08,0,1.439672711916916e-08,0.6,1.439672711916916e-08,0.5999999584139049
1.839672711916916e-08,0,1.839672711916916e-08,0.6,1.839672711916916e-08,0.6000002011394949
2.239672711916916e-08,0,2.239672711916916e-08,0.6,2.239672711916916e-08,0.5999999610993102
2.639672711916916e-08,0,2.639672711916916e-08,0.6,2.639672711916916e-08,0.6000002032555012
