/D (x=0.8) X,/D (x=0.8) Y,/CLK (x=0.8) X,/CLK (x=0.8) Y,/Q (x=0.8) X,/Q (x=0.8) Y
1.800081799347121e-07,0.8,1.800081799347121e-07,0.6543947769704057,1.800081799347121e-07,-1.260377399368266e-06
1.8001e-07,0.8,1.8001e-07,0.8,1.8001e-07,-7.716933796578905e-06
1.800100272555911e-07,0.8,1.800100272555911e-07,0.8,1.800100272555911e-07,-7.905254847399405e-06
1.800100817667734e-07,0.8,1.800100817667734e-07,0.8,1.800100817667734e-07,-8.300654205514248e-06
1.800101907891379e-07,0.8,1.800101907891379e-07,0.8,1.800101907891379e-07,-9.172649609294684e-06
1.800103329297836e-07,0.8,1.800103329297836e-07,0.8,1.800103329297836e-07,-1.023300955059947e-05
1.800103771126289e-07,0.8,1.800103771126289e-07,0.8,1.800103771126289e-07,-1.052716608228393e-05
1.800104654783194e-07,0.8,1.800104654783194e-07,0.8,1.800104654783194e-07,-1.109090600014045e-05
1.800106422097004e-07,0.8,1.800106422097004e-07,0.8,1.800106422097004e-07,-1.207281009762487e-05
1.800109956724623e-07,0.8,1.800109956724623e-07,0.8,1.800109956724623e-07,-1.355312894440384e-05
1.800117025979862e-07,0.8,1.800117025979862e-07,0.8,1.800117025979862e-07,-1.503850864750736e-05
1.80013116449034e-07,0.8,1.80013116449034e-07,0.8,1.80013116449034e-07,-1.407312916623027e-05
1.800159441511297e-07,0.8,1.800159441511297e-07,0.8,1.800159441511297e-07,-9.901763642521011e-06
1.800198720382016e-07,0.8,1.800198720382016e-07,0.8,1.800198720382016e-07,-3.52910847183068e-06
1.800249341237571e-07,0.8,1.800249341237571e-07,0.8,1.800249341237571e-07,1.050076780101143e-06
1.800296223341888e-07,0.8,1.800296223341888e-07,0.8,1.800296223341888e-07,4.374235213344845e-06
1.800350538299171e-07,0.8,1.800350538299171e-07,0.8,1.800350538299171e-07,1.2700517829846e-05
1.80039451367821e-07,0.8,1.80039451367821e-07,0.8,1.80039451367821e-07,1.76569476421487e-05
1.800435828300068e-07,0.8,1.800435828300068e-07,0.8,1.800435828300068e-07,2.275484026299188e-05
1.800485730273016e-07,0.8,1.800485730273016e-07,0.8,1.800485730273016e-07,1.42647157824329e-05
1.800527745847713e-07,0.8,1.800527745847713e-07,0.8,1.800527745847713e-07,2.703765524781004e-06
1.800566052967597e-07,0.8,1.800566052967597e-07,0.8,1.800566052967597e-07,-6.430523370948251e-06
1.80060231694514e-07,0.8,1.80060231694514e-07,0.8,1.80060231694514e-07,-1.827346555527897e-05
1.800633108124363e-07,0.8,1.800633108124363e-07,0.8,1.800633108124363e-07,-2.656109581624629e-05
1.800658527076999e-07,0.8,1.800658527076999e-07,0.8,1.800658527076999e-07,-2.902622082830084e-05
1.800680728195957e-07,0.8,1.800680728195957e-07,0.8,1.800680728195957e-07,-2.622590702603006e-05
1.800704330571363e-07,0.8,1.800704330571363e-07,0.8,1.800704330571363e-07,-2.122183198546052e-05
1.800723560940867e-07,0.8,1.800723560940867e-07,0.8,1.800723560940867e-07,-3.227884743076448e-05
1.800745097173908e-07,0.8,1.800745097173908e-07,0.8,1.800745097173908e-07,-6.104657525632287e-05
1.800770225672767e-07,0.8,1.800770225672767e-07,0.8,1.800770225672767e-07,-9.546302669433242e-05
1.80079385596084e-07,0.8,1.80079385596084e-07,0.8,1.80079385596084e-07,-0.0001000510041708144
1.800818453039247e-07,0.8,1.800818453039247e-07,0.8,1.800818453039247e-07,-7.994280430426722e-05
1.800844349375336e-07,0.8,1.800844349375336e-07,0.8,1.800844349375336e-07,-5.025612479408807e-05
1.800878958671375e-07,0.8,1.800878958671375e-07,0.8,1.800878958671375e-07,-1.852833093323144e-05
1.800931953438559e-07,0.8,1.800931953438559e-07,0.8,1.800931953438559e-07,4.656682769202019e-06
1.801008940259447e-07,0.8,1.801008940259447e-07,0.8,1.801008940259447e-07,6.461172390063442e-06
1.801145192624768e-07,0.8,1.801145192624768e-07,0.8,1.801145192624768e-07,-3.158792260333165e-06
1.801331029817839e-07,0.8,1.801331029817839e-07,0.8,1.801331029817839e-07,2.460968717450785e-05
1.801441148833117e-07,0.8,1.801441148833117e-07,0.8,1.801441148833117e-07,7.685841808445691e-05
1.801535290960039e-07,0.8,1.801535290960039e-07,0.8,1.801535290960039e-07,0.0001732575983986797
1.801633271060681e-07,0.8,1.801633271060681e-07,0.8,1.801633271060681e-07,0.0002726724795224929
1.801723664513789e-07,0.8,1.801723664513789e-07,0.8,1.801723664513789e-07,0.0003738078676830617
1.801793820255982e-07,0.8,1.801793820255982e-07,0.8,1.801793820255982e-07,0.0004910233693373607
1.801851061225176e-07,0.8,1.801851061225176e-07,0.8,1.801851061225176e-07,0.0006890527930377878
1.801913466633644e-07,0.8,1.801913466633644e-07,0.8,1.801913466633644e-07,0.001173712325110959
1.801967820070615e-07,0.8,1.801967820070615e-07,0.8,1.801967820070615e-07,0.001641721372361505
1.802044023708232e-07,0.8,1.802044023708232e-07,0.8,1.802044023708232e-07,0.00122407648725475
1.802104440106291e-07,0.8,1.802104440106291e-07,0.8,1.802104440106291e-07,-0.001131483679829228
1.802153979314275e-07,0.8,1.802153979314275e-07,0.8,1.802153979314275e-07,-0.005510053383032859
1.80220101857187e-07,0.8,1.80220101857187e-07,0.8,1.80220101857187e-07,-0.01129279455270252
1.802267568602895e-07,0.8,1.802267568602895e-07,0.8,1.802267568602895e-07,-0.02479551110292981
1.80232047692521e-07,0.8,1.80232047692521e-07,0.8,1.80232047692521e-07,-0.04514448026873485
1.802383200619233e-07,0.8,1.802383200619233e-07,0.8,1.802383200619233e-07,-0.07960410067896911
1.802443916367969e-07,0.8,1.802443916367969e-07,0.8,1.802443916367969e-07,-0.09517054528580607
1.802490048792699e-07,0.8,1.802490048792699e-07,0.8,1.802490048792699e-07,-0.0569439121078247
1.80252590250442e-07,0.8,1.80252590250442e-07,0.8,1.80252590250442e-07,0.02548005339931649
