/CK X,/CK Y,/D X,/D Y,/QD X,/QD Y
7.610434429018933e-10,0,7.610434429018933e-10,0,7.610434429018933e-10,1.045020379926895e-07
7.711785339795216e-10,0,7.711785339795216e-10,0,7.711785339795216e-10,7.704810644994323e-08
7.85008640220308e-10,0,7.85008640220308e-10,0,7.85008640220308e-10,7.351963298864426e-08
8.053759586691102e-10,0,8.053759586691102e-10,0,8.053759586691102e-10,4.241782583616916e-08
8.365145263767981e-10,0,8.365145263767981e-10,0,8.365145263767981e-10,5.436879578391993e-08
8.864955368405239e-10,0,8.864955368405239e-10,0,8.864955368405239e-10,4.466641433229368e-08
9.498522029601773e-10,0,9.498522029601773e-10,0,9.498522029601773e-10,5.297517092603781e-08
1.033385454863597e-09,0,1.033385454863597e-09,0,1.033385454863597e-09,4.562334701915532e-08
1.116692727431798e-09,0,1.116692727431798e-09,0,1.116692727431798e-09,5.22272866968362e-08
1.2e-09,0,1.2e-09,0,1.2e-09,4.630558503168881e-08
1.2000390625e-09,0,1.2000390625e-09,0.003125000000003544,1.2000390625e-09,4.959888278617789e-08
1.2001171875e-09,0,1.2001171875e-09,0.009375000000010632,1.2001171875e-09,5.785753655842577e-08
1.20015625e-09,0,1.20015625e-09,0.01250000000001418,1.20015625e-09,6.207755853488247e-08
1.200234375e-09,0,1.200234375e-09,0.01875000000002126,1.200234375e-09,6.913103317610249e-08
1.200370371276881e-09,0,1.200370371276881e-09,0.02962970215050782,1.200370371276881e-09,8.086471883061691e-08
1.2006264903852e-09,0,1.2006264903852e-09,0.05011923081601027,1.2006264903852e-09,9.896109763796549e-08
1.201138728601838e-09,0,1.201138728601838e-09,0.09109828814701519,1.201138728601838e-09,1.297540666442248e-07
1.202163205035113e-09,0,1.202163205035113e-09,0.173056402809025,1.202163205035113e-09,1.436252626980514e-07
1.203843873751729e-09,0,1.203843873751729e-09,0.3075099001383107,1.203843873751729e-09,1.025857040709291e-07
1.206546324566559e-09,0,1.206546324566559e-09,0.5237059653246888,1.206546324566559e-09,-6.463236853804261e-09
1.208273162283279e-09,0,1.208273162283279e-09,0.6618529826623432,1.208273162283279e-09,-4.810747240240113e-08
1.21e-09,0,1.21e-09,0.7999999999999973,1.21e-09,-6.407325189014414e-08
1.210107183204676e-09,0,1.210107183204676e-09,0.8,1.210107183204676e-09,-6.891508493123695e-08
1.210321549614028e-09,0,1.210321549614028e-09,0.8,1.210321549614028e-09,-7.918833262199765e-08
1.210750282432731e-09,0,1.210750282432731e-09,0.8,1.210750282432731e-09,-9.047670256649417e-08
1.210856005653992e-09,0,1.210856005653992e-09,0.8,1.210856005653992e-09,-9.162331726124435e-08
1.211067452096514e-09,0,1.211067452096514e-09,0.8,1.211067452096514e-09,-9.225253318542504e-08
1.211490344981557e-09,0,1.211490344981557e-09,0.8,1.211490344981557e-09,-8.80834006412403e-08
1.211654228412051e-09,0,1.211654228412051e-09,0.8,1.211654228412051e-09,-8.497355889961192e-08
